Data,Return,Return_Petr4,Return_BTC,Return_Shift
10/30/2017,-1.547857218,1.793191871,2.285719836,0.1054074
10/31/2017,-0.657754011,-1.467997565,4.790411026,-1.547857218
11/1/2017,-0.651343059,-0.059600712,-1.764704021,-0.657754011
11/7/2017,-2.551439222,2.89255591,-2.312131287,0.535750524
11/8/2017,2.690050404,-5.335628227,6.134961443,-2.551439222
11/9/2017,-1.925688851,2.727278788,5.16129002,2.690050404
11/10/2017,-1.048936666,-1.356943873,4.729725183,-1.925688851
11/13/2017,0.428179475,0,4.225356892,-1.048936666
11/14/2017,-2.273887547,-0.478468928,2.158275228,0.428179475
11/15/2017,0,-7.752398302,-2.79719853,-2.273887547
11/16/2017,2.379036243,0,2.142849322,0
11/17/2017,1.275650927,2.996742671,4.477614377,2.379036243
11/23/2017,-0.042942068,1.320761006,1.324503366,-0.101883504
11/24/2017,-0.443030327,0.496585941,9.420283866,-0.042942068
11/27/2017,-0.132152056,-0.555904845,7.812505157,-0.443030327
11/28/2017,0.109372257,-1.428571429,-0.775187494,-0.132152056
11/29/2017,-1.942271378,-0.189035917,6.611564521,0.109372257
11/30/2017,-1.002751032,-3.21969697,-1.6260202,-1.942271378
12/1/2017,0.407108419,0.32615786,1.652896633,-1.002751032
12/4/2017,1.143031108,1.495448635,-2.41935599,0.407108419
12/5/2017,-0.744287864,-0.832799488,2.479340052,1.143031108
12/6/2017,0.995230612,-1.098191214,17.47573205,-0.744287864
12/7/2017,-1.065949664,1.371652515,1.980195031,0.995230612
12/8/2017,0.33799164,-1.675257732,-0.980390413,-1.065949664
12/11/2017,0.093493923,0.589777195,1.999996813,0.33799164
12/12/2017,1.392857143,0.195439739,8.6956543,0.093493923
12/13/2017,-1.219280895,0.715214564,5.747124888,1.392857143
12/14/2017,-0.665167183,-2.001291156,2.352942176,-1.219280895
12/15/2017,0.247138577,-1.119894598,19.71830635,-0.665167183
12/18/2017,0.698270163,-0.399733511,22.41379203,0.247138577
12/19/2017,-0.594953156,1.806020067,-4.918026288,0.698270163
12/20/2017,0.945239406,-0.525624179,3.389824656,-0.594953156
12/21/2017,2.407076751,0.660501982,3.508771524,0.945239406
12/22/2017,0.071872546,4.06824147,-4.999991092,2.407076751
